node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Germany	85	6	25	1	577.30	9	0.6428571429	7
USA	143	1	25	1	4822.22	1	0.8042553191	1
China	101	2	25	1	1565.85	3	0.6823104693	2
Afghanistan	8	98	8	94	1.85	105	0.4796954315	96
Russia	84	8	25	1	435.79	10	0.6428571429	7
Turkey	89	5	25	1	1044.52	5	0.6517241379	5
Belgium	52	20	25	1	186.72	19	0.5762195122	20
Albania	25	61	22	55	24.51	54	0.5163934426	65
Bosnia_and_Herzegovina	32	48	24	44	21.83	56	0.5338983051	49
Croatia	38	38	25	1	112.11	26	0.5526315789	33
Greece	54	18	25	1	63.15	37	0.5779816514	19
Italy	85	6	25	1	732.08	7	0.6450511945	6
Macedonia	29	53	24	44	12.90	68	0.5294117647	54
Montenegro	23	67	22	55	3.76	90	0.5163934426	65
Romania	59	13	25	1	75.51	31	0.5906250000	13
Spain	79	9	25	1	583.76	8	0.6300000000	9
Ukraine	61	11	25	1	126.84	24	0.5924764890	11
Bulgaria	50	21	25	1	47.73	43	0.5744680851	21
Algeria	26	58	20	61	19.26	62	0.5250000000	58
Egypt	38	38	25	1	45.61	44	0.5510204082	34
France	96	3	25	1	1257.99	4	0.6702127660	3
Jordan	34	45	20	61	250.57	15	0.5279329609	56
Lebanon	33	46	21	59	73.57	34	0.5323943662	51
Morocco	29	53	20	61	27.99	51	0.5308988764	52
Senegal	13	84	10	88	9.87	75	0.4833759591	89
Serbia	39	36	25	1	74.28	33	0.5415472779	43
South_Africa	33	46	23	49	50.37	40	0.5400000000	44
The_Netherlands	58	14	25	1	152.05	22	0.5851393189	14
UK	90	4	25	1	1633.86	2	0.6562500000	4
United_Arab_Emirates	23	67	20	61	35.26	46	0.5163934426	65
American_Samoa	4	130	4	129	0.00	141	0.4532374101	136
Andorra	3	145	3	145	0.00	141	0.4162995595	163
Switzerland	37	42	25	1	67.41	36	0.5510204082	34
Brazil	62	10	25	1	411.51	12	0.5943396226	10
Angola	6	112	5	119	23.64	55	0.4701492537	109
Macau	6	112	5	119	1.89	104	0.4172185430	162
Portugal	44	28	25	1	425.80	11	0.5575221239	29
Cameroon	7	106	6	108	21.22	57	0.4678217822	115
Antigua_and_Barbuda	2	156	2	155	0.92	111	0.3995771670	175
Argentina	46	27	25	1	74.58	32	0.5625000000	26
Bolivia	16	78	14	78	3.18	92	0.5000000000	78
Canada	58	14	25	1	219.10	17	0.5851393189	14
Chile	25	61	23	49	7.20	80	0.5220994475	61
Cyprus	21	70	21	59	2.86	94	0.5121951220	70
Israel	47	25	25	1	73.30	35	0.5658682635	25
Lithuania	41	33	25	1	28.30	50	0.5478260870	37
Mexico	48	22	24	44	231.55	16	0.5675675676	24
Norway	47	25	25	1	183.70	20	0.5575221239	29
Paraguay	13	84	12	84	2.81	95	0.4772727273	97
Peru	24	64	19	70	18.07	63	0.5149863760	69
Poland	56	16	25	1	61.68	38	0.5797546012	18
Thailand	25	61	20	61	55.66	39	0.5308988764	52
Uruguay	10	89	10	88	0.41	118	0.4833759591	89
Venezuela	42	32	23	49	109.55	27	0.5478260870	37
Armenia	24	64	20	61	14.84	67	0.5080645161	72
Estonia	31	51	25	1	19.55	60	0.5354107649	48
Georgia	28	57	22	55	17.40	66	0.5235457064	60
India	39	36	23	49	125.44	25	0.5510204082	34
Iran	43	31	23	49	86.28	28	0.5558823529	32
Moldova	20	72	19	70	8.66	79	0.4947643979	82
Indonesia	60	12	25	1	1037.58	6	0.5924764890	11
Aruba	1	171	1	171	0.00	141	0.3727810651	184
Australia	40	34	24	44	325.28	13	0.5575221239	29
Ireland	29	53	25	1	10.31	72	0.5250000000	58
Japan	54	18	25	1	285.55	14	0.5833333333	16
Latvia	35	44	25	1	8.67	78	0.5400000000	44
Malaysia	17	75	17	74	4.25	88	0.5192307692	63
Mongolia	9	94	9	90	0.21	127	0.4833759591	89
New_Caledonia	3	145	3	145	0.25	124	0.4117647059	166
New_Zealand	14	82	13	82	21.06	58	0.4960629921	80
Papua_New_Guinea	4	130	4	129	0.10	129	0.4315068493	153
Philippines	38	38	24	44	84.51	29	0.5431034483	42
Slovakia	37	42	25	1	12.47	70	0.5462427746	39
Solomon_Islands	1	171	1	171	0.00	141	0.3586337761	189
South_Korea	48	22	25	1	79.45	30	0.5709969789	22
Sweden	56	16	25	1	171.43	21	0.5833333333	16
Timor-Leste	4	130	4	129	0.27	121	0.4678217822	115
Austria	48	22	25	1	49.65	41	0.5692771084	23
Czech_Republic	44	28	25	1	31.04	49	0.5591715976	28
Denmark	40	34	25	1	137.12	23	0.5462427746	39
Finland	38	38	25	1	32.78	48	0.5446685879	41
Hungary	44	28	25	1	44.26	45	0.5608308605	27
Luxembourg	26	58	25	1	2.24	100	0.5163934426	65
Slovenia	32	48	25	1	9.93	74	0.5400000000	44
Azerbaijan	19	74	16	75	10.63	71	0.5053475936	73
Kazakhstan	30	52	22	55	27.64	52	0.5338983051	49
Saudi_Arabia	24	64	20	61	17.88	64	0.5192307692	63
Bahrain	4	130	4	129	0.08	137	0.4099783080	167
Pakistan	32	48	20	61	218.69	18	0.5400000000	44
Bangladesh	9	94	8	94	7.04	81	0.4748743719	100
Barbados	4	130	4	129	0.00	141	0.4736842105	106
Belarus	29	53	23	49	20.42	59	0.5294117647	54
