node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Germany	2769	3	25	1	566.11	8	0.6418918919	7
USA	4305	1	25	1	8214.27	1	0.8050847458	1
China	1071	9	25	1	1433.94	4	0.6810035842	2
Afghanistan	12	118	8	94	0.10	99	0.4797979798	96
Russia	1481	5	25	1	452.70	10	0.6418918919	7
Turkey	458	21	25	1	949.73	5	0.6506849315	5
Belgium	461	18	25	1	125.38	19	0.5757575758	20
Albania	84	61	22	55	11.29	44	0.5163043478	65
Bosnia_and_Herzegovina	120	52	24	44	6.68	51	0.5337078652	49
Croatia	210	39	25	1	85.66	24	0.5523255814	33
Greece	349	30	25	1	13.59	39	0.5775075988	19
Italy	1108	8	25	1	697.52	7	0.6440677966	6
Macedonia	143	47	24	44	5.80	53	0.5292479109	54
Montenegro	71	67	22	55	0.95	78	0.5163043478	65
Romania	472	17	25	1	32.87	29	0.5900621118	13
Spain	563	14	25	1	314.81	11	0.6291390728	9
Ukraine	946	10	25	1	85.83	23	0.5919003115	11
Bulgaria	348	31	25	1	13.24	41	0.5740181269	21
Algeria	56	72	20	61	4.44	58	0.5248618785	58
Egypt	91	59	25	1	10.02	46	0.5507246377	34
France	3302	2	25	1	1468.79	3	0.6690140845	3
Jordan	67	69	20	61	161.49	16	0.5277777778	56
Lebanon	87	60	21	59	22.54	33	0.5322128852	51
Morocco	69	68	20	61	3.78	62	0.5307262570	52
Senegal	21	95	10	88	1.41	75	0.4834605598	89
Serbia	188	43	25	1	28.86	32	0.5413105413	43
South_Africa	105	56	23	49	4.89	55	0.5397727273	44
The_Netherlands	460	20	25	1	69.76	25	0.5846153846	14
UK	2308	4	25	1	1471.76	2	0.6551724138	4
United_Arab_Emirates	39	80	20	61	13.80	38	0.5163043478	65
American_Samoa	4	152	4	129	0.00	141	0.4534606205	136
Andorra	3	162	3	145	0.00	141	0.4157549234	164
Switzerland	410	26	25	1	14.27	36	0.5507246377	34
Brazil	520	15	25	1	300.91	13	0.5937500000	10
Angola	15	105	5	119	4.70	57	0.4702970297	109
Macau	14	110	5	119	0.30	85	0.4166666667	163
Portugal	273	34	25	1	482.06	9	0.5571847507	29
Cameroon	12	118	6	108	2.44	69	0.4679802956	115
Antigua_and_Barbuda	2	170	2	155	0.00	129	0.3991596639	176
Argentina	260	36	25	1	20.18	34	0.5621301775	26
Bolivia	39	80	14	78	0.10	102	0.5000000000	78
Canada	461	18	25	1	61.24	26	0.5846153846	14
Chile	103	57	23	49	0.74	79	0.5219780220	61
Cyprus	52	75	21	59	0.11	98	0.5121293801	70
Israel	446	23	25	1	12.98	43	0.5654761905	25
Lithuania	265	35	25	1	4.06	60	0.5475504323	37
Mexico	489	16	24	44	139.88	18	0.5671641791	24
Norway	604	12	25	1	110.65	20	0.5571847507	29
Paraguay	47	76	12	84	0.09	104	0.4773869347	97
Peru	76	63	19	70	2.90	65	0.5149051491	69
Poland	1139	6	25	1	30.75	31	0.5792682927	18
Thailand	64	70	20	61	19.90	35	0.5307262570	52
Uruguay	45	77	10	88	0.01	123	0.4834605598	89
Venezuela	119	53	23	49	8.63	48	0.5475504323	37
Armenia	78	62	20	61	2.66	67	0.5080213904	72
Estonia	345	32	25	1	3.16	64	0.5352112676	48
Georgia	137	48	22	55	3.32	63	0.5234159780	60
India	204	41	23	49	91.66	22	0.5507246377	34
Iran	146	45	23	49	31.80	30	0.5555555556	32
Moldova	116	54	19	70	2.63	68	0.4947916667	82
Indonesia	205	40	25	1	699.24	6	0.5919003115	11
Aruba	1	178	1	171	0.00	141	0.3725490196	185
Australia	355	29	24	44	300.97	12	0.5571847507	29
Ireland	249	37	25	1	0.56	80	0.5248618785	58
Japan	1121	7	25	1	226.00	14	0.5828220859	16
Latvia	190	42	25	1	1.18	77	0.5397727273	44
Malaysia	72	66	17	74	2.06	71	0.5191256831	63
Mongolia	27	87	9	90	0.00	130	0.4834605598	89
New_Caledonia	6	139	3	145	0.00	138	0.4112554113	167
New_Zealand	172	44	13	82	7.57	49	0.4960835509	80
Papua_New_Guinea	9	129	4	129	0.00	131	0.4308390023	154
Philippines	227	38	24	44	59.54	27	0.5428571429	42
Slovakia	278	33	25	1	1.95	72	0.5459770115	39
Solomon_Islands	1	178	1	171	0.00	141	0.3584905660	190
South_Korea	372	28	25	1	13.95	37	0.5705705706	22
Sweden	677	11	25	1	108.74	21	0.5828220859	16
Timor-Leste	6	139	4	129	0.01	124	0.4679802956	115
Austria	383	27	25	1	9.27	47	0.5688622754	23
Czech_Republic	431	24	25	1	5.47	54	0.5588235294	28
Denmark	429	25	25	1	155.11	17	0.5459770115	39
Finland	578	13	25	1	13.43	40	0.5444126074	41
Hungary	458	21	25	1	13.12	42	0.5604719764	27
Luxembourg	74	65	25	1	0.14	97	0.5163043478	65
Slovenia	145	46	25	1	1.40	76	0.5397727273	44
Azerbaijan	61	71	16	75	1.54	74	0.5053191489	73
Kazakhstan	106	55	22	55	3.91	61	0.5337078652	49
Saudi_Arabia	43	78	20	61	2.15	70	0.5191256831	63
Bahrain	4	152	4	129	0.01	121	0.4094827586	168
Pakistan	99	58	20	61	181.94	15	0.5397727273	44
Bangladesh	15	105	8	94	0.51	81	0.4738154613	105
Barbados	11	122	4	129	0.00	141	0.4738154613	105
Belarus	124	51	23	49	1.62	73	0.5292479109	54
Democratic_Republic_of_the_Congo	9	129	6	108	0.36	83	0.4418604651	149
Suriname	7	135	4	129	0.01	122	0.4308390023	154
Belize	4	152	1	171	0.00	141	0.4470588235	139
Benin	5	144	4	129	0.00	141	0.4668304668	118
Bhutan	7	135	2	155	0.00	141	0.4121475054	166
Ecuador	36	83	14	78	0.08	106	0.4909560724	84
Libya	11	122	8	94	0.02	117	0.4418604651	149
Botswana	10	126	6	108	0.00	131	0.4846938776	87
Cape_Verde	12	118	3	145	0.05	111	0.4094827586	168
