node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Germany	84	5	25	1	437.18	8	0.6765957447	5
USA	134	1	25	1	3159.12	1	0.8641304348	1
China	97	2	25	1	903.23	2	0.7194570136	2
Afghanistan	8	100	8	97	1.11	103	0.4968750000	93
Russia	83	6	25	1	346.86	9	0.6765957447	5
Turkey	88	4	25	1	744.00	4	0.6913043478	4
Belgium	51	19	25	1	103.97	20	0.5955056180	18
Albania	24	65	22	55	15.50	56	0.5335570470	65
Bosnia_and_Herzegovina	32	48	24	44	17.93	51	0.5501730104	50
Croatia	37	41	25	1	10.27	66	0.5618374558	39
Greece	54	16	25	1	53.23	34	0.6000000000	17
Italy	82	8	25	1	479.71	6	0.6737288136	8
Macedonia	28	55	24	44	4.85	80	0.5408163265	56
Montenegro	23	68	22	55	2.57	88	0.5317725753	67
Romania	59	12	25	1	63.39	30	0.6138996139	12
Spain	77	9	25	1	450.94	7	0.6597510373	9
Ukraine	61	10	25	1	103.96	21	0.6162790698	10
Bulgaria	50	21	25	1	38.60	39	0.5932835821	21
Algeria	26	59	20	63	15.27	57	0.5408163265	56
Egypt	38	37	25	1	35.60	40	0.5678571429	35
France	93	3	25	1	806.84	3	0.7066666667	3
Jordan	34	46	20	63	218.24	13	0.5540069686	47
Lebanon	32	48	21	59	27.02	44	0.5520833333	48
Morocco	28	55	20	63	19.02	50	0.5463917526	54
Senegal	14	83	11	86	10.53	65	0.5063694268	85
Serbia	38	37	25	1	58.85	33	0.5598591549	43
South_Africa	34	46	23	49	43.91	36	0.5578947368	45
The_Netherlands	57	14	25	1	98.20	22	0.6045627376	14
UK	83	6	25	1	643.32	5	0.6765957447	5
United_Arab_Emirates	23	68	20	63	26.66	46	0.5300000000	69
Brazil	60	11	25	1	287.83	10	0.6162790698	10
Angola	5	119	4	126	14.58	59	0.4892307692	108
Portugal	42	32	25	1	194.87	14	0.5719424460	32
Argentina	46	26	25	1	59.33	32	0.5824175824	26
Bolivia	17	76	15	78	3.21	84	0.5230263158	74
Canada	58	13	25	1	166.46	16	0.6091954023	13
Chile	25	62	23	49	5.13	77	0.5389830508	60
Cyprus	21	71	21	59	2.08	92	0.5264900662	72
Israel	48	23	25	1	61.41	31	0.5867158672	23
Lithuania	42	32	25	1	28.24	43	0.5698924731	33
Mexico	48	23	24	44	170.90	15	0.5867158672	23
Norway	45	27	25	1	126.30	18	0.5740072202	29
Paraguay	14	83	13	84	2.57	87	0.5031645570	87
Peru	24	65	19	71	13.99	60	0.5317725753	67
Poland	56	15	25	1	52.97	35	0.6045627376	14
Switzerland	36	44	25	1	26.71	45	0.5618374558	39
Thailand	25	62	20	63	42.96	37	0.5389830508	60
Uruguay	10	89	10	89	0.20	118	0.5000000000	92
Venezuela	42	32	23	49	76.87	24	0.5740072202	29
Armenia	24	65	20	63	13.92	61	0.5300000000	69
Estonia	31	51	25	1	15.65	54	0.5501730104	50
Georgia	28	55	22	55	14.71	58	0.5408163265	56
India	40	35	23	49	110.39	19	0.5698924731	33
Iran	43	30	23	49	72.43	26	0.5740072202	29
Moldova	20	73	19	71	7.32	70	0.5179153094	79
Australia	39	36	24	44	76.73	25	0.5678571429	35
Indonesia	51	19	25	1	276.12	11	0.5955056180	18
Ireland	28	55	25	1	5.96	75	0.5371621622	63
Japan	54	16	25	1	81.54	23	0.6022727273	16
Latvia	36	44	25	1	8.67	69	0.5578947368	45
Malaysia	17	76	17	75	2.24	90	0.5230263158	74
Mongolia	10	89	10	89	0.44	110	0.4968750000	93
New_Zealand	13	87	13	84	0.20	117	0.5031645570	87
Papua_New_Guinea	4	128	4	126	0.03	136	0.4392265193	147
Philippines	38	37	24	44	63.52	29	0.5638297872	38
Slovakia	37	41	25	1	8.95	68	0.5618374558	39
South_Korea	49	22	25	1	70.23	27	0.5910780669	22
Sweden	53	18	25	1	64.43	28	0.5955056180	18
Taiwan	43	30	21	59	252.52	12	0.5678571429	35
Timor-Leste	4	128	4	126	0.06	131	0.4789156627	122
Austria	48	23	25	1	39.23	38	0.5867158672	23
Czech_Republic	45	27	25	1	28.99	42	0.5802919708	27
Denmark	38	37	25	1	12.53	64	0.5618374558	39
Finland	37	41	25	1	13.82	62	0.5598591549	43
Hungary	44	29	25	1	35.09	41	0.5781818182	28
Luxembourg	26	59	25	1	1.85	97	0.5335570470	65
Slovenia	32	48	25	1	7.13	72	0.5501730104	50
Azerbaijan	19	75	16	76	8.95	67	0.5230263158	74
Kazakhstan	30	53	22	55	21.18	49	0.5482758621	53
Saudi_Arabia	25	62	20	63	16.76	52	0.5389830508	60
Bahrain	4	128	4	126	0.08	124	0.4274193548	150
Pakistan	31	51	20	63	162.96	17	0.5520833333	48
Bangladesh	9	97	8	97	4.92	79	0.4907407407	106
Belarus	29	54	23	49	15.76	53	0.5445205479	55
Democratic_Republic_of_the_Congo	7	105	6	107	4.02	83	0.4608695652	141
Belize	1	157	1	157	0.00	139	0.4649122807	135
Benin	5	119	5	118	0.05	133	0.4892307692	108
Bhutan	2	147	2	146	0.00	139	0.4217506631	151
Ecuador	15	81	14	81	1.96	95	0.5112540193	83
Libya	8	100	8	97	0.26	114	0.4649122807	135
