user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
Urho_Kekkonen	3	(1221)	2	(1637)	2	(871)	2	(964)	2076.62	(1562)	0.00038	(787)
Mauno_Koivisto	3	(1221)	2	(1637)	2	(871)	2	(964)	465.19	(1856)	0.00030	(994)
Juho_Kusti_Paasikivi	2	(1592)	2	(1637)	2	(871)	2	(964)	5253.59	(1007)	0.00032	(930)
Ferran_Sor_i_Muntades	1	(2107)	1	(2168)	1	(1665)	1	(1810)	0.00	(2186)	0.00017	(1570)
Luigi_Cherubini	8	(403)	10	(294)	4	(11)	4	(12)	25227.06	(290)	0.00052	(501)
Chris_Columbus	3	(1221)	1	(2168)	2	(871)	1	(1810)	180.56	(1977)	0.00008	(2450)
Steven_Spielberg	55	(3)	19	(67)	3	(91)	3	(148)	215699.13	(14)	0.00246	(24)
Alexander_Graham_Bell	3	(1221)	2	(1637)	2	(871)	1	(1810)	6173.79	(918)	0.00026	(1108)
Antonio_Meucci	1	(2107)	1	(2168)	1	(1665)	1	(1810)	0.00	(2186)	0.00017	(1588)
Helen_Keller	2	(1592)	10	(294)	2	(871)	3	(148)	18669.21	(399)	0.00019	(1452)
Didier_Drogba	4	(940)	1	(2168)	1	(1665)	1	(1810)	24.00	(2094)	0.00020	(1403)
José_Mourinho	9	(343)	4	(976)	1	(1665)	1	(1810)	76.00	(2036)	0.00049	(557)
Thierry_Henry	4	(940)	3	(1251)	1	(1665)	2	(964)	67764.42	(102)	0.00015	(1713)
Lionel_Andrés_Messi	3	(1221)	6	(615)	1	(1665)	2	(964)	57724.18	(116)	0.00014	(1826)
Arsène_Wenger	7	(485)	7	(491)	1	(1665)	2	(964)	30693.42	(246)	0.00024	(1218)
Michel_François_Platini	2	(1592)	1	(2168)	1	(1665)	0	(2745)	1234.17	(1701)	0.00013	(1844)
Cèsar_Borja	6	(576)	4	(976)	3	(91)	3	(148)	8859.89	(731)	0.00042	(712)
Pius_III	2	(1592)	1	(2168)	2	(871)	1	(1810)	0.00	(2186)	0.00036	(843)
Alexandre_VI	15	(126)	7	(491)	3	(91)	3	(148)	15730.51	(452)	0.00167	(64)
Lluís_XII_de_França	10	(285)	8	(410)	3	(91)	3	(148)	14363.99	(499)	0.00101	(161)
Nicolau_Maquiavel	12	(194)	21	(48)	3	(91)	4	(12)	76239.18	(86)	0.00072	(296)
