user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
!!!	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Nate_Dogg	13	(3223)	34	(552)	5	(2155)	7	(1307)	366251.73	(1840)	0.00007	(3037)
"Weird_Al"_Yankovic	15	(2798)	13	(3359)	4	(3262)	5	(4325)	516423.67	(1301)	0.00005	(4471)
Al_Gore	32	(1101)	13	(3359)	6	(1251)	5	(4325)	861337.40	(749)	0.00022	(516)
Allan_Sherman	2	(13478)	5	(9690)	1	(13590)	3	(9579)	4938.40	(15661)	0.00001	(18220)
Camille_Saint-Saëns	23	(1712)	10	(4715)	6	(1251)	5	(4325)	268270.40	(2493)	0.00019	(707)
Crispin_Glover	2	(13478)	1	(24095)	1	(13590)	1	(21126)	1459.95	(17432)	0.00001	(19166)
Dr._Demento	4	(8662)	6	(8236)	1	(13590)	3	(9579)	159345.33	(3893)	0.00001	(15580)
Eminem	70	(297)	54	(134)	7	(309)	8	(229)	6720183.46	(38)	0.00028	(348)
James_Blunt	6	(6350)	6	(8236)	2	(7740)	4	(6525)	59947.74	(7650)	0.00002	(13195)
Jim_West	1	(18479)	1	(24095)	1	(13590)	1	(21126)	0.00	(20860)	0.00001	(20759)
Leslie_Nielsen	11	(3792)	10	(4715)	3	(4980)	5	(4325)	98135.38	(5571)	0.00007	(3195)
Michael_Jackson	179	(26)	70	(53)	7	(309)	8	(229)	20019067.52	(3)	0.00082	(28)
Michael_Richards	5	(7353)	3	(14489)	2	(7740)	3	(9579)	33623.57	(10107)	0.00002	(10561)
Victoria_Jackson	2	(13478)	7	(7076)	2	(7740)	5	(4325)	22589.19	(11979)	0.00001	(20502)
Wendy_Carlos	3	(10529)	3	(14489)	2	(7740)	3	(9579)	4617.68	(15774)	0.00001	(14067)
2_Cold_Scorpio	2	(13478)	1	(24095)	2	(7740)	1	(21126)	0.00	(20860)	0.00001	(18955)
Theodore_Long	19	(2170)	4	(11725)	8	(49)	3	(9579)	36025.04	(9855)	0.00006	(4105)
50_Cent	46	(640)	31	(701)	7	(309)	8	(229)	613135.49	(1067)	0.00015	(1008)
