user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
ギャネンドラ・ビール・ビクラム・シャー・デーヴ	1	(2171)	2	(1800)	1	(1793)	1	(2049)	2562.00	(1525)	0.00014	(1891)
昭和天皇	27	(33)	11	(242)	4	(79)	5	(59)	68319.42	(91)	0.00173	(44)
ギリジャ・プラサド・コイララ	1	(2171)	1	(2299)	1	(1793)	1	(2049)	0.00	(2332)	0.00011	(2181)
ジョージ6世_(イギリス王)	2	(1656)	10	(293)	2	(1027)	4	(207)	8971.60	(801)	0.00015	(1866)
ベニート・ムッソリーニ	19	(83)	22	(34)	4	(79)	4	(207)	106437.04	(51)	0.00132	(73)
ウィンストン・チャーチル	35	(17)	29	(18)	4	(79)	5	(59)	222182.12	(15)	0.00231	(18)
エリザベス・バウエス＝ライオン	4	(1049)	4	(1071)	2	(1027)	2	(1286)	18893.71	(434)	0.00027	(1229)
エレノア・ルーズベルト	12	(219)	7	(555)	4	(79)	5	(59)	13374.89	(592)	0.00078	(245)
クレメント・アトリー	4	(1049)	5	(865)	3	(330)	3	(524)	746.76	(1875)	0.00034	(960)
コリン・ファース	4	(1049)	1	(2299)	2	(1027)	1	(2049)	4689.81	(1197)	0.00029	(1153)
アドルフ・ヒトラー	100	(1)	43	(3)	4	(79)	5	(59)	630223.96	(1)	0.00568	(1)
ネヴィル・チェンバレン	10	(296)	7	(555)	4	(79)	3	(524)	14287.63	(555)	0.00117	(99)
メアリー・オブ・テック	6	(671)	0	(3017)	2	(1027)	0	(2960)	0.00	(2332)	0.00015	(1830)
ポール・サバティエ	1	(2171)	1	(2299)	1	(1793)	1	(2049)	0.00	(2332)	0.00040	(754)
ヴィクトル・グリニャール	1	(2171)	1	(2299)	1	(1793)	1	(2049)	0.00	(2332)	0.00040	(754)
ロン・ハワード	4	(1049)	1	(2299)	3	(330)	1	(2049)	841.27	(1848)	0.00039	(829)
トム・ハンクス	9	(362)	5	(865)	3	(330)	3	(524)	26737.50	(289)	0.00083	(204)
アクバル	1	(2171)	1	(2299)	1	(1793)	1	(2049)	0.00	(2332)	0.00025	(1277)
バーブル	2	(1656)	2	(1800)	1	(1793)	1	(2049)	5419.00	(1111)	0.00047	(605)
ムハンマド・オマル	2	(1656)	3	(1380)	2	(1027)	2	(1286)	791.88	(1860)	0.00016	(1777)
ハーミド・カルザイ	3	(1306)	3	(1380)	2	(1027)	2	(1286)	1550.54	(1692)	0.00010	(2255)
ウサーマ・ビン・ラーディン	7	(545)	8	(468)	2	(1027)	3	(524)	29313.37	(252)	0.00073	(285)
アブー・ムスアブ・アッ＝ザルカーウィー	3	(1306)	1	(2299)	2	(1027)	1	(2049)	13.23	(2265)	0.00020	(1521)
ジョゼフ・リスター	1	(2171)	4	(1071)	1	(1793)	2	(1286)	4131.84	(1252)	0.00012	(2056)
ロベルト・コッホ	3	(1306)	3	(1380)	1	(1793)	1	(2049)	7342.36	(910)	0.00018	(1618)
ルドルフ・ルートヴィヒ・カール・ウィルヒョー	1	(2171)	0	(3017)	1	(1793)	0	(2960)	0.00	(2332)	0.00007	(2565)
フローレンス・ナイチンゲール	4	(1049)	3	(1380)	1	(1793)	2	(1286)	11009.90	(695)	0.00031	(1061)
ルイ・パスツール	5	(838)	3	(1380)	1	(1793)	2	(1286)	29303.21	(253)	0.00026	(1259)
オルランド・ディ・ラッソ	0	(2848)	2	(1800)	0	(2730)	1	(2049)	0.00	(2332)	0.00005	(3087)
ジョスカン・デ・プレ	3	(1306)	0	(3017)	1	(1793)	0	(2960)	0.00	(2332)	0.00011	(2143)
ペトラルカ	7	(545)	3	(1380)	2	(1027)	2	(1286)	10225.02	(732)	0.00028	(1187)
ロバート・ケネディ	10	(296)	10	(293)	4	(79)	5	(59)	7728.82	(887)	0.00066	(338)
ジョセフ・マッカーシー	11	(258)	3	(1380)	4	(79)	3	(524)	14138.37	(561)	0.00095	(152)
マリリン・モンロー	24	(49)	21	(43)	4	(79)	5	(59)	183445.28	(22)	0.00129	(81)
ジョセフ・P・ケネディ	6	(671)	13	(165)	4	(79)	5	(59)	15257.46	(526)	0.00059	(407)
リチャード・ニクソン	56	(4)	32	(12)	4	(79)	5	(59)	183772.21	(21)	0.00365	(5)
リンドン・ジョンソン	22	(57)	13	(165)	4	(79)	5	(59)	27846.40	(271)	0.00134	(71)
ジョン・F・ケネディ	50	(8)	34	(9)	4	(79)	5	(59)	275202.06	(10)	0.00339	(6)
ジョン・エドガー・フーヴァー	6	(671)	6	(709)	3	(330)	4	(207)	12213.20	(648)	0.00037	(871)
エドワード・ケネディ	7	(545)	4	(1071)	4	(79)	4	(207)	2288.46	(1583)	0.00053	(505)
フランク・シナトラ	22	(57)	28	(20)	4	(79)	5	(59)	121750.19	(37)	0.00117	(100)
ヒューバート・H・ハンフリー	5	(838)	5	(865)	4	(79)	4	(207)	294.95	(2046)	0.00044	(660)
ダニエル・アッゲル	1	(2171)	1	(2299)	0	(2730)	1	(2049)	1.63	(2313)	0.00005	(2807)
ジェイミー・キャラガー	6	(671)	5	(865)	2	(1027)	3	(524)	3044.22	(1405)	0.00025	(1293)
オウィディウス	5	(838)	3	(1380)	2	(1027)	3	(524)	2088.36	(1619)	0.00043	(669)
ウェルギリウス	11	(258)	6	(709)	3	(330)	3	(524)	16190.26	(503)	0.00079	(226)
ホラティウス	5	(838)	3	(1380)	2	(1027)	3	(524)	1700.85	(1669)	0.00030	(1089)
アウグストゥス	16	(125)	13	(165)	4	(79)	5	(59)	25837.08	(311)	0.00137	(68)
マイケル・ジャクソン	51	(7)	31	(13)	4	(79)	4	(207)	409269.14	(4)	0.00292	(10)
マイケル・ジョーダン	13	(190)	8	(468)	4	(79)	4	(207)	71276.26	(83)	0.00063	(361)
ダイアナ・ロス	9	(362)	5	(865)	3	(330)	3	(524)	5595.78	(1086)	0.00041	(729)
エリザベス・テイラー	16	(125)	3	(1380)	3	(330)	2	(1286)	23570.74	(337)	0.00061	(379)
ジョージ・W・ブッシュ	60	(2)	42	(5)	4	(79)	5	(59)	341981.72	(8)	0.00327	(7)
ジョン・レノン	34	(19)	18	(68)	4	(79)	4	(207)	110882.64	(46)	0.00181	(42)
スティーヴィー・ワンダー	14	(161)	10	(293)	4	(79)	4	(207)	71792.74	(81)	0.00073	(286)
ジャスティン・ティンバーレイク	12	(219)	10	(293)	3	(330)	3	(524)	42742.26	(166)	0.00067	(334)
セリーヌ・ディオン	10	(296)	1	(2299)	3	(330)	1	(2049)	5446.92	(1107)	0.00068	(316)
ビヨンセ	13	(190)	17	(84)	3	(330)	4	(207)	34089.50	(218)	0.00046	(629)
リアーナ	7	(545)	12	(202)	3	(330)	4	(207)	10965.41	(701)	0.00040	(744)
カニエ・ウェスト	12	(219)	10	(293)	3	(330)	4	(207)	45917.88	(158)	0.00090	(173)
ライオネル・リッチー	5	(838)	2	(1800)	3	(330)	2	(1286)	398.24	(2004)	0.00028	(1184)
リッキー・マーティン	6	(671)	1	(2299)	2	(1027)	0	(2960)	2862.00	(1445)	0.00025	(1289)
ロナルド・レーガン	52	(6)	26	(27)	4	(79)	5	(59)	546481.86	(2)	0.00287	(12)
ポール・マッカートニー	25	(46)	10	(293)	4	(79)	4	(207)	31024.20	(240)	0.00114	(107)
エルトン・ジョン	22	(57)	15	(114)	4	(79)	4	(207)	101837.34	(56)	0.00092	(166)
オノ・ヨーコ	5	(838)	13	(165)	3	(330)	4	(207)	38077.20	(196)	0.00030	(1093)
タイガー・ウッズ	6	(671)	0	(3017)	4	(79)	0	(2960)	0.00	(2332)	0.00028	(1180)
ジェームス・ブラウン	7	(545)	4	(1071)	3	(330)	2	(1286)	5764.84	(1062)	0.00034	(954)
スティーヴン・スピルバーグ	40	(14)	23	(32)	4	(79)	4	(207)	283949.41	(9)	0.00203	(28)
スティーヴン・キング	6	(671)	2	(1800)	3	(330)	2	(1286)	9537.25	(770)	0.00059	(414)
デヴィッド・ボウイ	25	(46)	20	(52)	4	(79)	4	(207)	159020.58	(25)	0.00114	(108)
ウィル・アイ・アム	7	(545)	2	(1800)	2	(1027)	2	(1286)	8850.57	(814)	0.00028	(1185)
エリック・クラプトン	28	(30)	11	(242)	4	(79)	4	(207)	42584.16	(167)	0.00218	(23)
マーヴィン・ゲイ	4	(1049)	6	(709)	3	(330)	3	(524)	6327.81	(995)	0.00025	(1280)
エディ・マーフィ	9	(362)	3	(1380)	3	(330)	3	(524)	7628.69	(895)	0.00059	(405)
エルヴィス・プレスリー	33	(21)	16	(98)	4	(79)	4	(207)	115391.46	(42)	0.00187	(36)
マーティン・スコセッシ	24	(49)	11	(242)	4	(79)	4	(207)	110872.48	(47)	0.00191	(34)
マジック・ジョンソン	7	(545)	6	(709)	4	(79)	4	(207)	22889.61	(357)	0.00035	(945)
ジャネット・ジャクソン	6	(671)	4	(1071)	3	(330)	3	(524)	6442.16	(978)	0.00032	(1023)
ブルック・シールズ	9	(362)	3	(1380)	3	(330)	3	(524)	57669.54	(116)	0.00049	(565)
