user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
Mwai_Kibaki	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00082	(308)
Daniel_Moi	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00082	(308)
Scarlett_Johansson	6	(254)	2	(911)	2	(172)	2	(129)	10239.28	(450)	0.00039	(712)
Rachel_Weisz	6	(254)	5	(338)	3	(51)	2	(129)	15106.27	(339)	0.00065	(440)
David_Bowie	16	(22)	7	(191)	2	(172)	2	(129)	41444.82	(108)	0.00109	(187)
Pierre_Trudeau	5	(331)	2	(911)	2	(172)	1	(771)	13315.17	(373)	0.00092	(257)
Richard_Nixon	13	(43)	19	(17)	3	(51)	3	(51)	111036.29	(27)	0.00239	(38)
Lester_Pearson	2	(935)	1	(1371)	2	(172)	1	(771)	98.46	(1337)	0.00061	(475)
Doris_Lessing	0	(2292)	1	(1371)	0	(1982)	0	(1940)	0.00	(1512)	0.00006	(2466)
Theodor_Mommsen	1	(1440)	0	(2197)	0	(1982)	0	(1940)	0.00	(1512)	0.00011	(1678)
Richard_Strauss	2	(935)	2	(911)	1	(765)	1	(771)	1641.58	(1010)	0.00030	(885)
Romain_Rolland	5	(331)	4	(462)	2	(172)	1	(771)	40307.75	(111)	0.00095	(241)
Claude_Debussy	2	(935)	0	(2197)	1	(765)	0	(1940)	0.00	(1512)	0.00021	(1135)
Franciszek_Józef_I	3	(637)	8	(151)	2	(172)	3	(51)	50229.63	(83)	0.00043	(651)
Wilhelm_I_Hohenzollern	4	(453)	3	(641)	2	(172)	2	(129)	37460.20	(130)	0.00027	(960)
Franciszek_I_Lotaryński	7	(182)	9	(121)	3	(51)	3	(51)	18986.47	(275)	0.00042	(669)
Leopold_II_Habsburg	6	(254)	4	(462)	3	(51)	3	(51)	5981.82	(602)	0.00041	(672)
Otto_von_Bismarck	3	(637)	2	(911)	2	(172)	1	(771)	2742.08	(838)	0.00037	(761)
Maria_Teresa_Habsburg	8	(148)	9	(121)	3	(51)	3	(51)	39022.81	(119)	0.00050	(576)
Karol_III_Hiszpański	2	(935)	1	(1371)	2	(172)	1	(771)	1128.79	(1129)	0.00018	(1260)
Karol_I_Habsburg	2	(935)	2	(911)	2	(172)	2	(129)	68999.08	(51)	0.00025	(979)
Franciszek_II_Habsburg	4	(453)	4	(462)	2	(172)	2	(129)	28535.71	(175)	0.00041	(689)
Cameron_Diaz	3	(637)	4	(462)	2	(172)	2	(129)	19486.12	(264)	0.00018	(1270)
Justin_Timberlake	13	(43)	11	(79)	3	(51)	3	(51)	51749.19	(78)	0.00072	(392)
Leonardo_DiCaprio	11	(71)	2	(911)	2	(172)	1	(771)	8027.44	(526)	0.00059	(498)
Tom_Cruise	7	(182)	6	(251)	2	(172)	2	(129)	38378.56	(124)	0.00033	(821)
Snoop_Dogg	11	(71)	9	(121)	3	(51)	3	(51)	35551.75	(140)	0.00136	(122)
Margaret_Thatcher	16	(22)	14	(50)	2	(172)	3	(51)	207674.84	(4)	0.00186	(62)
Gaston_Thorn	1	(1440)	0	(2197)	1	(765)	0	(1940)	0.00	(1512)	0.00018	(1239)
James_Callaghan	4	(453)	3	(641)	2	(172)	3	(51)	4172.22	(705)	0.00077	(370)
John_Major	3	(637)	3	(641)	2	(172)	2	(129)	152092.72	(16)	0.00059	(493)
Augusto_Pinochet	6	(254)	6	(251)	2	(172)	2	(129)	46647.31	(92)	0.00110	(184)
Michaił_Gorbaczow	5	(331)	5	(338)	2	(172)	3	(51)	20174.43	(252)	0.00039	(710)
Neville_Chamberlain	5	(331)	5	(338)	2	(172)	3	(51)	26562.20	(192)	0.00072	(387)
Morrissey	2	(935)	0	(2197)	1	(765)	0	(1940)	0.00	(1512)	0.00024	(1040)
Brian_Mulroney	2	(935)	1	(1371)	1	(765)	1	(771)	1637.00	(1029)	0.00171	(76)
Ronald_Reagan	19	(7)	11	(79)	3	(51)	3	(51)	104028.69	(31)	0.00234	(40)
Tony_Blair	9	(121)	3	(641)	2	(172)	2	(129)	148451.34	(18)	0.00131	(129)
François_Mitterrand	13	(43)	16	(26)	3	(51)	3	(51)	124759.26	(20)	0.00191	(57)
Alec_Douglas-Home	4	(453)	4	(462)	2	(172)	3	(51)	1657.06	(1001)	0.00073	(384)
Helmut_Kohl	6	(254)	7	(191)	2	(172)	2	(129)	26903.93	(188)	0.00102	(211)
Cate_Blanchett	7	(182)	9	(121)	3	(51)	2	(129)	70117.53	(47)	0.00073	(383)
Renée_Zellweger	7	(182)	9	(121)	3	(51)	2	(129)	51653.35	(79)	0.00069	(413)
Kate_Winslet	10	(97)	9	(121)	2	(172)	2	(129)	39429.53	(115)	0.00056	(520)
Nicole_Kidman	18	(14)	10	(95)	3	(51)	2	(129)	60840.57	(61)	0.00121	(158)
Hilary_Swank	6	(254)	5	(338)	2	(172)	2	(129)	17377.23	(301)	0.00060	(480)
Jennifer_Hudson	9	(121)	3	(641)	3	(51)	2	(129)	17163.57	(304)	0.00054	(537)
Judi_Dench	10	(97)	6	(251)	2	(172)	2	(129)	69662.73	(49)	0.00071	(401)
Annette_Bening	6	(254)	3	(641)	2	(172)	2	(129)	10966.13	(421)	0.00051	(568)
Katharine_Hepburn	12	(58)	17	(22)	3	(51)	3	(51)	167186.33	(12)	0.00114	(175)
Ralph_Vaughan_Williams	0	(2292)	1	(1371)	0	(1982)	0	(1940)	0.00	(1512)	0.00006	(2466)
Bertrand_Russell	2	(935)	0	(2197)	0	(1982)	0	(1940)	0.00	(1512)	0.00013	(1526)
Jennifer_Jones	1	(1440)	5	(338)	1	(765)	2	(129)	10811.26	(424)	0.00048	(604)
Humphrey_Bogart	6	(254)	3	(641)	3	(51)	2	(129)	12570.93	(391)	0.00046	(626)
Gregory_Peck	4	(453)	3	(641)	1	(765)	1	(771)	2795.13	(833)	0.00020	(1172)
Ingrid_Bergman	11	(71)	3	(641)	3	(51)	2	(129)	20447.46	(251)	0.00136	(121)
Laurence_Olivier	7	(182)	4	(462)	2	(172)	3	(51)	81440.47	(42)	0.00037	(741)
William_Holden	1	(1440)	2	(911)	1	(765)	1	(771)	1198.47	(1115)	0.00015	(1433)
Alexander_Graham_Bell	2	(935)	1	(1371)	1	(765)	1	(771)	1637.00	(1029)	0.00242	(36)
Antonio_Meucci	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00230	(43)
Ice_Cube	4	(453)	1	(1371)	2	(172)	1	(771)	348.03	(1244)	0.00048	(597)
Dr._Dre	7	(182)	4	(462)	3	(51)	2	(129)	2588.36	(851)	0.00110	(186)
Elizabeth_Blackburn	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00082	(308)
Carol_Greider	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00082	(308)
Juanes	2	(935)	1	(1371)	1	(765)	1	(771)	2236.99	(886)	0.00027	(949)
Nelly_Furtado	10	(97)	4	(462)	3	(51)	2	(129)	27498.75	(183)	0.00064	(452)
Jan_Chryzostom	2	(935)	1	(1371)	0	(1982)	0	(1940)	2.00	(1452)	0.00010	(1855)
Bazyli_Wielki	2	(935)	1	(1371)	0	(1982)	0	(1940)	3.00	(1442)	0.00017	(1277)
Anne-Sophie_Mutter	1	(1440)	3	(641)	1	(765)	1	(771)	1685.00	(972)	0.00010	(1795)
Krzysztof_Penderecki	4	(453)	2	(911)	1	(765)	1	(771)	5982.44	(601)	0.00015	(1390)
Herbert_von_Karajan	1	(1440)	0	(2197)	1	(765)	0	(1940)	0.00	(1512)	0.00009	(1905)
Witold_Lutosławski	2	(935)	2	(911)	1	(765)	1	(771)	5.00	(1422)	0.00010	(1850)
Red_Hot_Chili_Peppers	10	(97)	3	(641)	2	(172)	2	(129)	13447.46	(372)	0.00061	(476)
Joe_Satriani	4	(453)	3	(641)	2	(172)	1	(771)	2290.29	(879)	0.00042	(660)
John_Frusciante	2	(935)	8	(151)	1	(765)	2	(129)	7188.34	(547)	0.00025	(994)
George_Orwell	2	(935)	2	(911)	1	(765)	1	(771)	6819.80	(562)	0.00011	(1659)
Józef_Stalin	11	(71)	7	(191)	2	(172)	2	(129)	38216.07	(127)	0.00122	(157)
Władysław_Reymont	1	(1440)	0	(2197)	1	(765)	0	(1940)	0.00	(1512)	0.00011	(1741)
Jerzy_IV_Hanowerski	2	(935)	7	(191)	2	(172)	2	(129)	27538.34	(182)	0.00031	(853)
Walter_Scott	2	(935)	0	(2197)	2	(172)	0	(1940)	0.00	(1512)	0.00038	(729)
Wilhelm_IV_Hanowerski	4	(453)	5	(338)	2	(172)	2	(129)	16573.08	(316)	0.00063	(456)
Peter_Ustinov	2	(935)	1	(1371)	1	(765)	1	(771)	2595.35	(850)	0.00010	(1788)
William_Pitt_Młodszy	1	(1440)	1	(1371)	1	(765)	1	(771)	0.33	(1510)	0.00010	(1817)
Jerzy_III_Hanowerski	9	(121)	4	(462)	2	(172)	2	(129)	41552.82	(107)	0.00060	(486)
Hugh_Laurie	4	(453)	5	(338)	2	(172)	2	(129)	36430.61	(135)	0.00030	(874)
Napoleon_Bonaparte	5	(331)	3	(641)	2	(172)	2	(129)	15177.20	(336)	0.00027	(945)
Lucian_Freud	0	(2292)	1	(1371)	0	(1982)	0	(1940)	0.00	(1512)	0.00006	(2466)
Roman_Abramowicz	3	(637)	0	(2197)	1	(765)	0	(1940)	0.00	(1512)	0.00024	(1031)
Gordon_Brown	5	(331)	3	(641)	1	(765)	2	(129)	86217.28	(35)	0.00067	(425)
Elżbieta_II	19	(7)	33	(3)	2	(172)	3	(51)	727286.61	(1)	0.00168	(81)
David_Cameron	2	(935)	3	(641)	1	(765)	2	(129)	5154.52	(640)	0.00032	(839)
Samantha_Stosur	12	(58)	10	(95)	8	(1)	7	(1)	2370.05	(871)	0.00080	(351)
Jelena_Diemientjewa	15	(29)	15	(36)	8	(1)	7	(1)	2875.54	(824)	0.00065	(441)
Daniela_Hantuchová	12	(58)	16	(26)	8	(1)	7	(1)	44793.12	(95)	0.00050	(586)
Maria_Kirilenko	6	(254)	3	(641)	6	(42)	3	(51)	1.97	(1472)	0.00036	(776)
Kim_Clijsters	18	(14)	29	(5)	8	(1)	7	(1)	57170.81	(67)	0.00092	(260)
Martina_Navrátilová	8	(148)	2	(911)	7	(20)	2	(129)	5.50	(1421)	0.00090	(265)
Caroline_Wozniacki	13	(43)	19	(17)	8	(1)	7	(1)	736.79	(1174)	0.00053	(551)
Serena_Williams	13	(43)	19	(17)	8	(1)	7	(1)	3456.27	(754)	0.00058	(504)
Patty_Schnyder	16	(22)	7	(191)	8	(1)	5	(28)	110.99	(1330)	0.00092	(255)
Justine_Henin	18	(14)	25	(6)	8	(1)	7	(1)	26046.06	(199)	0.00107	(199)
Amélie_Mauresmo	15	(29)	12	(68)	8	(1)	7	(1)	190.61	(1287)	0.00077	(371)
Lars_Løkke_Rasmussen	1	(1440)	2	(911)	1	(765)	2	(129)	758.59	(1170)	0.00011	(1756)
Anders_Fogh_Rasmussen	1	(1440)	2	(911)	1	(765)	2	(129)	214.58	(1281)	0.00011	(1756)
Małgorzata_II	4	(453)	5	(338)	2	(172)	2	(129)	18710.36	(278)	0.00032	(835)
Hadrian	5	(331)	2	(911)	2	(172)	1	(771)	10623.01	(433)	0.00179	(69)
Trajan	5	(331)	1	(1371)	2	(172)	1	(771)	3040.90	(806)	0.00138	(119)
Antoninus_Pius	2	(935)	4	(462)	1	(765)	1	(771)	12218.64	(399)	0.00129	(132)
Elvis_Presley	7	(182)	1	(1371)	2	(172)	1	(771)	14042.54	(361)	0.00034	(808)
Du_Fu	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00082	(308)
Li_Bai	1	(1440)	1	(1371)	1	(765)	1	(771)	0.00	(1512)	0.00082	(308)
Michaëlle_Jean	0	(2292)	2	(911)	0	(1982)	1	(771)	0.00	(1512)	0.00006	(2362)
François_Duvalier	1	(1440)	0	(2197)	0	(1982)	0	(1940)	0.00	(1512)	0.00009	(1957)
Paul_Martin	2	(935)	1	(1371)	1	(765)	1	(771)	1.00	(1479)	0.00101	(216)
Auguste_Rodin	4	(453)	1	(1371)	1	(765)	1	(771)	8405.64	(512)	0.00027	(940)
Rainer_Maria_Rilke	4	(453)	2	(911)	1	(765)	1	(771)	23292.04	(221)	0.00036	(767)
