user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
!!!	0	(18361)	1	(13705)	0	(16419)	1	(11113)	0.00	(12578)	0.00001	(19583)
Nate_Dogg	16	(861)	15	(759)	5	(192)	7	(22)	125456.73	(2300)	0.00011	(1941)
"Weird_Al"_Yankovic	6	(3167)	25	(264)	2	(3975)	6	(186)	330957.81	(907)	0.00003	(7877)
Backstreet_Boys	18	(700)	10	(1583)	4	(435)	5	(336)	285921.38	(1044)	0.00009	(2572)
Billy_Ray_Cyrus	6	(3167)	4	(5581)	2	(3975)	3	(2848)	24889.27	(6259)	0.00003	(8164)
Chamillionaire	13	(1150)	14	(868)	4	(435)	6	(186)	72469.92	(3486)	0.00005	(5166)
Coolio	3	(6168)	13	(1009)	2	(3975)	6	(186)	134262.26	(2173)	0.00002	(11685)
Don_McLean	6	(3167)	1	(13705)	3	(1978)	1	(11113)	14535.68	(7780)	0.00006	(4245)
Elvis_Presley	144	(6)	30	(169)	7	(33)	6	(186)	4264085.47	(20)	0.00114	(24)
Eminem	52	(90)	51	(30)	6	(105)	7	(22)	1290814.34	(178)	0.00028	(375)
Huey_Lewis	2	(8234)	2	(9704)	2	(3975)	2	(6074)	5497.50	(9388)	0.00001	(13308)
James_Brown	43	(141)	34	(113)	5	(192)	6	(186)	1375403.97	(161)	0.00028	(381)
Joan_Jett	13	(1150)	6	(3499)	3	(1978)	3	(2848)	84910.82	(3127)	0.00006	(4409)
Lady_Gaga	46	(120)	31	(153)	7	(33)	7	(22)	1412530.31	(154)	0.00021	(649)
MC_Hammer	8	(2275)	0	(19796)	4	(435)	0	(18642)	0.00	(12578)	0.00004	(5870)
Madonna	129	(9)	42	(65)	7	(33)	7	(22)	5364720.52	(15)	0.00065	(79)
Marilyn_Manson	38	(173)	17	(597)	4	(435)	4	(590)	876584.09	(315)	0.00026	(443)
Michael_Jackson	162	(4)	59	(15)	7	(33)	7	(22)	11811959.33	(1)	0.00125	(16)
R._Kelly	28	(351)	13	(1009)	6	(105)	7	(22)	77165.99	(3355)	0.00018	(832)
Ray_Manzarek	8	(2275)	2	(9704)	2	(3975)	2	(6074)	49739.80	(4422)	0.00005	(5491)
Red_Hot_Chili_Peppers	53	(80)	37	(88)	5	(192)	6	(186)	1666626.82	(113)	0.00031	(316)
Richard_Harris	13	(1150)	0	(19796)	3	(1978)	0	(18642)	0.00	(12578)	0.00009	(2474)
Rick_Derringer	2	(8234)	6	(3499)	2	(3975)	4	(590)	8771.75	(8874)	0.00002	(10804)
Smash_Mouth	2	(8234)	2	(9704)	1	(8333)	1	(11113)	2422.22	(10101)	0.00001	(16527)
The_Police	16	(861)	13	(1009)	4	(435)	4	(590)	254170.10	(1173)	0.00009	(2612)
Tina_Turner	32	(259)	59	(15)	6	(105)	6	(186)	3429885.01	(39)	0.00028	(384)
Toni_Basil	2	(8234)	0	(19796)	2	(3975)	0	(18642)	0.00	(12578)	0.00002	(11891)
Wendy_Carlos	4	(4834)	4	(5581)	2	(3975)	2	(6074)	520354.58	(565)	0.00004	(6665)
40_Glocc	1	(12003)	1	(13705)	1	(8333)	1	(11113)	0.00	(12578)	0.00001	(13028)
50_Cent	54	(76)	36	(95)	6	(105)	7	(22)	913984.92	(286)	0.00027	(409)
Al_Pacino	48	(110)	10	(1583)	4	(435)	4	(590)	282556.12	(1061)	0.00019	(740)
Big_Pun	7	(2679)	1	(13705)	4	(435)	1	(11113)	172.18	(11483)	0.00005	(5446)
Cam'ron	7	(2679)	3	(7249)	4	(435)	3	(2848)	16040.42	(7516)	0.00004	(6989)
DMX	15	(945)	13	(1009)	5	(192)	5	(336)	76511.55	(3385)	0.00006	(4324)
Diddy	39	(164)	6	(3499)	6	(105)	5	(336)	178735.03	(1678)	0.00019	(775)
Dr._Dre	42	(146)	12	(1172)	6	(105)	6	(186)	171148.11	(1747)	0.00023	(545)
Fat_Joe	19	(654)	10	(1583)	5	(192)	6	(186)	37281.85	(5093)	0.00011	(1980)
George_W._Bush	158	(5)	23	(314)	5	(192)	4	(590)	5804191.59	(13)	0.00220	(4)
Jason_Mizell	1	(12003)	4	(5581)	1	(8333)	3	(2848)	4579.61	(9545)	0.00001	(13029)
Jay-Z	64	(56)	19	(478)	7	(33)	7	(22)	433213.67	(682)	0.00036	(225)
Kanye_West	47	(116)	48	(40)	7	(33)	7	(22)	1144220.29	(206)	0.00029	(358)
Kelis	14	(1027)	2	(9704)	5	(192)	2	(6074)	15550.61	(7596)	0.00006	(4181)
LL_Cool_J	16	(861)	4	(5581)	5	(192)	4	(590)	37150.23	(5103)	0.00009	(2729)
Lil_Scrappy	9	(1942)	5	(4366)	4	(435)	5	(336)	8899.13	(8853)	0.00004	(6472)
Lil_Wayne	49	(102)	12	(1172)	6	(105)	6	(186)	266539.05	(1122)	0.00022	(605)
Lloyd_Banks	17	(782)	19	(478)	5	(192)	7	(22)	79912.75	(3265)	0.00008	(2947)
Louis_Farrakhan	2	(8234)	1	(13705)	2	(3975)	0	(18642)	3300.43	(9854)	0.00002	(11656)
Mike_Tyson	13	(1150)	4	(5581)	4	(435)	2	(6074)	676127.54	(439)	0.00015	(1123)
Nas	32	(259)	11	(1368)	6	(105)	5	(336)	100830.12	(2726)	0.00015	(1166)
Ne-Yo	31	(276)	18	(539)	5	(192)	7	(22)	124734.50	(2314)	0.00012	(1802)
Nicolas_Cage	33	(247)	9	(1910)	4	(435)	4	(590)	806464.11	(343)	0.00030	(334)
Nicole_Scherzinger	23	(472)	27	(219)	6	(105)	7	(22)	2466260.12	(67)	0.00017	(909)
Robert_De_Niro	52	(90)	36	(95)	4	(435)	4	(590)	1335325.08	(172)	0.00023	(522)
Sticky_Fingaz	2	(8234)	0	(19796)	1	(8333)	0	(18642)	0.00	(12578)	0.00002	(11662)
Terrence_Howard	4	(4834)	4	(5581)	2	(3975)	3	(2848)	28063.26	(5993)	0.00002	(10960)
The_Notorious_B.I.G	11	(1475)	0	(19796)	5	(192)	0	(18642)	0.00	(12578)	0.00011	(1954)
Timbaland	37	(183)	25	(264)	7	(33)	7	(22)	414507.56	(706)	0.00020	(722)
Tony_Yayo	5	(3877)	5	(4366)	4	(435)	4	(590)	733.24	(10919)	0.00003	(8265)
Val_Kilmer	13	(1150)	23	(314)	4	(435)	4	(590)	664125.37	(449)	0.00007	(4026)
Vivica_A._Fox	3	(6168)	0	(19796)	1	(8333)	0	(18642)	0.00	(12578)	0.00002	(11450)
Wyclef_Jean	14	(1027)	6	(3499)	6	(105)	3	(2848)	274136.58	(1090)	0.00014	(1364)
Young_Buck	13	(1150)	17	(597)	4	(435)	6	(186)	87584.90	(3056)	0.00005	(5653)
A.J._Cook	0	(18361)	3	(7249)	0	(16419)	3	(2848)	0.00	(12578)	0.00001	(22936)
Ali_Larter	4	(4834)	22	(355)	1	(8333)	4	(590)	459617.04	(639)	0.00002	(12150)
Hayden_Christensen	14	(1027)	12	(1172)	2	(3975)	3	(2848)	107620.66	(2597)	0.00005	(5403)
Sofia_Coppola	18	(700)	8	(2302)	4	(435)	4	(590)	413993.95	(707)	0.00020	(681)
A._E._van_Vogt	0	(18361)	2	(9704)	0	(16419)	1	(11113)	0.00	(12578)	0.00001	(18364)
Isaac_Asimov	15	(945)	9	(1910)	3	(1978)	2	(6074)	341665.62	(874)	0.00010	(2228)
Robert_A._Heinlein	15	(945)	1	(13705)	3	(1978)	1	(11113)	159337.39	(1869)	0.00016	(1102)
A._P._Hill	1	(12003)	1	(13705)	1	(8333)	0	(18642)	5.00	(12108)	0.00001	(18140)
John_Hunt_Morgan	2	(8234)	0	(19796)	1	(8333)	0	(18642)	0.00	(12578)	0.00002	(11511)
A._P._J._Abdul_Kalam	1	(12003)	2	(9704)	1	(8333)	1	(11113)	28712.00	(5889)	0.00003	(8794)
K._R._Narayanan	1	(12003)	1	(13705)	1	(8333)	1	(11113)	43065.00	(4786)	0.00002	(10881)
Pratibha_Patil	2	(8234)	2	(9704)	1	(8333)	1	(11113)	14358.00	(7900)	0.00004	(6160)
AEK_Atenas	10	(1687)	1	(13705)	1	(8333)	1	(11113)	17363.00	(7167)	0.00038	(202)
Pantelis_Kafes	1	(12003)	1	(13705)	1	(8333)	1	(11113)	0.00	(12578)	0.00035	(235)
AOL	9	(1942)	2	(9704)	3	(1978)	2	(6074)	286832.06	(1041)	0.00009	(2705)
Kerli	1	(12003)	5	(4366)	1	(8333)	4	(590)	136455.69	(2144)	0.00005	(5657)
Marc_Andreessen	1	(12003)	3	(7249)	1	(8333)	2	(6074)	130020.38	(2235)	0.00005	(5658)
ATB	2	(8234)	1	(13705)	1	(8333)	1	(11113)	3.00	(12211)	0.00009	(2539)
Heather_Nova	2	(8234)	1	(13705)	1	(8333)	1	(11113)	2.00	(12275)	0.00009	(2563)
AZ_(rapper)	0	(18361)	7	(2825)	0	(16419)	4	(590)	0.00	(12578)	0.00001	(19492)
D'Angelo	4	(4834)	2	(9704)	3	(1978)	2	(6074)	2278.89	(10153)	0.00002	(9389)
Ghostface_Killah	13	(1150)	14	(868)	3	(1978)	6	(186)	85293.58	(3119)	0.00005	(5016)
Inspectah_Deck	3	(6168)	8	(2302)	2	(3975)	4	(590)	2659.16	(10027)	0.00002	(10625)
Kool_G_Rap	6	(3167)	8	(2302)	3	(1978)	4	(590)	5593.48	(9377)	0.00003	(7282)
Styles_P	9	(1942)	22	(355)	4	(435)	7	(22)	35626.66	(5225)	0.00003	(8514)
A_Fine_Frenzy	0	(18361)	2	(9704)	0	(16419)	2	(6074)	0.00	(12578)	0.00001	(18364)
Aretha_Franklin	53	(80)	11	(1368)	6	(105)	3	(2848)	263884.82	(1129)	0.00028	(376)
Ella_Fitzgerald	46	(120)	30	(169)	6	(105)	4	(590)	965229.68	(266)	0.00032	(286)
Aage_Niels_Bohr	9	(1942)	9	(1910)	4	(435)	4	(590)	256444.53	(1160)	0.00011	(1821)
Antony_Hewish	8	(2275)	8	(2302)	4	(435)	4	(590)	181612.38	(1653)	0.00010	(2296)
Ben_Roy_Mottelson	6	(3167)	5	(4366)	4	(435)	4	(590)	9560.92	(8762)	0.00007	(3560)
Christian_Bohr	2	(8234)	3	(7249)	2	(3975)	2	(6074)	13468.29	(8330)	0.00004	(6807)
Leo_James_Rainwater	5	(3877)	5	(4366)	4	(435)	4	(590)	1484.01	(10463)	0.00006	(4164)
Martin_Ryle	12	(1308)	12	(1172)	4	(435)	4	(590)	117507.77	(2426)	0.00013	(1433)
Marvin_Leonard_Goldberger	2	(8234)	3	(7249)	2	(3975)	3	(2848)	15028.23	(7684)	0.00003	(8874)
Murray_Gell-Mann	9	(1942)	7	(2825)	4	(435)	4	(590)	734956.19	(393)	0.00010	(2098)
Niels_Bohr	42	(146)	20	(431)	4	(435)	4	(590)	2548230.82	(63)	0.00041	(180)
Samuel_Chao_Chung_Ting	6	(3167)	7	(2825)	4	(435)	4	(590)	49531.71	(4431)	0.00008	(2856)
Aaliyah	16	(861)	12	(1172)	5	(192)	7	(22)	91548.46	(2956)	0.00010	(2300)
Gladys_Knight	11	(1475)	7	(2825)	5	(192)	4	(590)	25591.49	(6198)	0.00007	(3787)
Janet_Jackson	54	(76)	26	(241)	7	(33)	7	(22)	771040.40	(366)	0.00036	(228)
Jet_Li	13	(1150)	6	(3499)	4	(435)	3	(2848)	213709.42	(1430)	0.00013	(1417)
Lil'_Kim	21	(548)	7	(2825)	5	(192)	5	(336)	107995.43	(2589)	0.00012	(1692)
Missy_Elliott	37	(183)	20	(431)	7	(33)	7	(22)	236832.47	(1282)	0.00020	(671)
Mýa	18	(700)	14	(868)	5	(192)	7	(22)	78504.07	(3316)	0.00010	(2267)
Tweet	3	(6168)	1	(13705)	2	(3975)	1	(11113)	0.00	(12578)	0.00002	(9372)
Usher	41	(149)	16	(677)	7	(33)	7	(22)	151830.14	(1956)	0.00020	(669)
Aaron_Aaronsohn	0	(18361)	2	(9704)	0	(16419)	1	(11113)	0.00	(12578)	0.00001	(18364)
Chaim_Weizmann	5	(3877)	1	(13705)	2	(3975)	1	(11113)	35428.87	(5238)	0.00020	(696)
Edmond_de_Rothschild	1	(12003)	0	(19796)	0	(16419)	0	(18642)	0.00	(12578)	0.00001	(15608)
