user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
Bertolt_Brecht	7	(264)	2	(1273)	2	(234)	2	(410)	5379.21	(927)	0.00035	(868)
Hanns_Eisler	3	(880)	2	(1273)	2	(234)	2	(410)	3994.56	(1067)	0.00025	(1140)
Kurt_Weill	2	(1258)	3	(899)	2	(234)	2	(410)	1750.19	(1424)	0.00021	(1314)
Edward_Albee	0	(2666)	6	(353)	0	(2491)	1	(1384)	0.00	(1958)	0.00005	(3106)
Richard_Burton	7	(264)	3	(899)	2	(234)	1	(1384)	7126.20	(793)	0.00032	(936)
Elizabeth_Taylor	5	(466)	2	(1273)	2	(234)	1	(1384)	4659.24	(986)	0.00034	(900)
Eugène_Ionesco	2	(1258)	1	(1869)	1	(1292)	1	(1384)	0.00	(1958)	0.00011	(2030)
Samuel_Beckett	5	(466)	4	(637)	1	(1292)	1	(1384)	9498.92	(658)	0.00022	(1282)
Truman_Capote	4	(621)	1	(1869)	1	(1292)	1	(1384)	240.91	(1718)	0.00014	(1722)
Vladimir_Nabokov	7	(264)	2	(1273)	2	(234)	2	(410)	11996.71	(548)	0.00022	(1279)
Jane_Birkin	1	(1846)	2	(1273)	1	(1292)	1	(1384)	2320.00	(1308)	0.00006	(2569)
John_Barry	1	(1846)	0	(2694)	1	(1292)	0	(2586)	0.00	(1958)	0.00008	(2354)
Michelangelo_Antonioni	4	(621)	4	(637)	2	(234)	2	(410)	13512.42	(495)	0.00038	(803)
Kanye_West	5	(466)	6	(353)	3	(38)	3	(41)	19987.96	(341)	0.00034	(896)
Janet_Jackson	2	(1258)	2	(1273)	2	(234)	2	(410)	2482.26	(1232)	0.00014	(1709)
Taylor_Swift	1	(1846)	3	(899)	1	(1292)	1	(1384)	2562.65	(1215)	0.00010	(2087)
Alicia_Keys	2	(1258)	26	(9)	2	(234)	3	(41)	29096.36	(229)	0.00013	(1803)
Jay-Z	10	(136)	2	(1273)	3	(38)	2	(410)	5857.63	(898)	0.00042	(698)
Jamie_Foxx	5	(466)	14	(75)	2	(234)	3	(41)	67313.91	(85)	0.00052	(517)
Barack_Obama	34	(12)	22	(20)	3	(38)	4	(1)	146176.86	(35)	0.00207	(40)
Galileo_Galilei	4	(621)	4	(637)	2	(234)	3	(41)	6900.90	(819)	0.00041	(731)
Aristoteles	37	(10)	11	(114)	3	(38)	3	(41)	226472.39	(18)	0.00382	(8)
Nicolaus_Copernicus	3	(880)	4	(637)	2	(234)	3	(41)	12337.39	(529)	0.00063	(399)
Isaac_Newton	14	(58)	1	(1869)	2	(234)	1	(1384)	8067.55	(741)	0.00180	(56)
Johannes_Paulus_II	14	(58)	3	(899)	3	(38)	3	(41)	31897.75	(200)	0.00125	(112)
Sean_Connery	8	(202)	3	(899)	2	(234)	1	(1384)	36307.05	(177)	0.00042	(705)
Sidney_Lumet	2	(1258)	0	(2694)	2	(234)	0	(2586)	0.00	(1958)	0.00019	(1439)
Elizabeth_II	39	(6)	7	(259)	3	(38)	3	(41)	398255.26	(4)	0.00272	(21)
George_Lazenby	2	(1258)	1	(1869)	1	(1292)	0	(2586)	1680.55	(1428)	0.00019	(1429)
Bertrand_Russell	19	(30)	5	(475)	2	(234)	2	(410)	48389.09	(125)	0.00273	(19)
Albert_Einstein	18	(38)	9	(169)	2	(234)	3	(41)	157241.37	(34)	0.00151	(86)
Ludwig_Wittgenstein	6	(341)	3	(899)	2	(234)	2	(410)	10038.26	(636)	0.00101	(163)
Gottlob_Frege	3	(880)	1	(1869)	2	(234)	1	(1384)	283.90	(1699)	0.00090	(207)
Alfred_Jules_Ayer	3	(880)	4	(637)	2	(234)	2	(410)	7446.38	(774)	0.00063	(400)
Alfred_North_Whitehead	1	(1846)	1	(1869)	1	(1292)	1	(1384)	0.00	(1958)	0.00054	(488)
Svjatoslav_Richter	2	(1258)	1	(1869)	1	(1292)	1	(1384)	316.69	(1690)	0.00006	(2607)
Boris_Pasternak	3	(880)	8	(206)	2	(234)	2	(410)	20884.66	(319)	0.00025	(1152)
Platon	41	(5)	9	(169)	3	(38)	3	(41)	65844.62	(88)	0.00363	(10)
Xenofon	5	(466)	1	(1869)	3	(38)	1	(1384)	713.87	(1592)	0.00093	(195)
Karl_Popper	4	(621)	7	(259)	2	(234)	2	(410)	20360.75	(330)	0.00104	(154)
Thomas_Samuel_Kuhn	3	(880)	1	(1869)	2	(234)	1	(1384)	89.30	(1790)	0.00056	(471)
Aristofanes	2	(1258)	2	(1273)	2	(234)	0	(2586)	926.56	(1547)	0.00065	(371)
Sokrates	8	(202)	7	(259)	3	(38)	3	(41)	14910.01	(450)	0.00185	(53)
Perikles	6	(341)	5	(475)	2	(234)	3	(41)	7139.11	(792)	0.00089	(209)
Anaxagoras	2	(1258)	3	(899)	2	(234)	3	(41)	577.01	(1617)	0.00057	(456)
Johannes_Kepler	4	(621)	4	(637)	2	(234)	1	(1384)	14147.38	(473)	0.00194	(48)
Paul_McCartney	8	(202)	3	(899)	2	(234)	3	(41)	14161.25	(471)	0.00050	(535)
John_Lennon	15	(49)	7	(259)	2	(234)	3	(41)	55970.73	(109)	0.00105	(151)
Stevie_Wonder	10	(136)	8	(206)	2	(234)	3	(41)	29018.87	(231)	0.00044	(664)
Michael_Jackson	24	(17)	26	(9)	2	(234)	3	(41)	395142.71	(5)	0.00122	(115)
Ryan_Babel	0	(2666)	3	(899)	0	(2491)	1	(1384)	0.00	(1958)	0.00005	(3016)
Royston_Drenthe	1	(1846)	0	(2694)	0	(2491)	0	(2586)	0.00	(1958)	0.00007	(2490)
Djibril_Cissé	1	(1846)	1	(1869)	0	(2491)	1	(1384)	28.72	(1835)	0.00007	(2490)
Fernando_Torres	3	(880)	2	(1273)	2	(234)	2	(410)	11595.86	(567)	0.00013	(1787)
Steve_Nash	1	(1846)	2	(1273)	0	(2491)	1	(1384)	0.00	(1958)	0.00006	(2620)
Dirk_Nowitzki	3	(880)	0	(2694)	0	(2491)	0	(2586)	0.00	(1958)	0.00011	(1971)
Kobe_Bryant	3	(880)	4	(637)	0	(2491)	1	(1384)	4439.00	(1023)	0.00014	(1774)
Ignatius_av_Loyola	5	(466)	3	(899)	2	(234)	2	(410)	6925.07	(813)	0.00052	(510)
