user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
2004年加拿大國會下議院選舉	0	(9125)	3	(3107)	0	(8154)	2	(2280)	0.00	(6155)	0.00001	(11483)
保罗·马丁	7	(1351)	4	(2395)	2	(1675)	2	(2280)	46643.14	(1386)	0.00023	(871)
史蒂芬·哈珀	12	(749)	2	(4309)	2	(1675)	2	(2280)	65821.51	(1047)	0.00022	(956)
杰克·林顿	1	(5871)	5	(1875)	0	(8154)	2	(2280)	520.95	(5064)	0.00002	(8508)
2007年度世界小姐比赛	0	(9125)	2	(4309)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9237)
张梓琳	1	(5871)	0	(9867)	0	(8154)	0	(9245)	0.00	(6155)	0.00002	(7967)
張嘉兒	5	(1857)	15	(417)	2	(1675)	6	(316)	36327.80	(1660)	0.00006	(4286)
4minute	1	(5871)	3	(3107)	1	(3795)	1	(4702)	1.00	(6006)	0.00002	(8391)
U-ie	2	(3968)	1	(6473)	1	(3795)	1	(4702)	13298.00	(2928)	0.00002	(7460)
金泫雅	1	(5871)	4	(2395)	1	(3795)	1	(4702)	6.00	(5742)	0.00002	(8241)
青山黛瑪	2	(3968)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00003	(6102)
50_Cent	4	(2290)	13	(513)	2	(1675)	3	(1003)	59234.14	(1133)	0.00009	(3113)
Dr._Dre	9	(1040)	5	(1875)	2	(1675)	2	(2280)	36270.36	(1664)	0.00029	(594)
Eminem	9	(1040)	8	(1015)	2	(1675)	3	(1003)	131212.83	(548)	0.00017	(1436)
Jay-Z	22	(336)	5	(1875)	3	(946)	3	(1003)	180490.08	(384)	0.00040	(341)
LL_Cool_J	3	(2928)	0	(9867)	2	(1675)	0	(9245)	0.00	(6155)	0.00004	(5434)
尚恩·库姆斯	5	(1857)	3	(3107)	2	(1675)	2	(2280)	17618.72	(2509)	0.00008	(3516)
怀克里夫·让	2	(3968)	1	(6473)	2	(1675)	1	(4702)	5.85	(5765)	0.00003	(6108)
提姆巴蘭	10	(937)	7	(1216)	3	(946)	3	(1003)	144837.48	(504)	0.00012	(2325)
纳斯	6	(1564)	19	(295)	2	(1675)	3	(1003)	169065.22	(414)	0.00013	(2146)
罗伯特·德尼罗	8	(1187)	7	(1216)	2	(1675)	3	(1003)	150621.50	(471)	0.00007	(3677)
肯伊·威斯特	16	(513)	4	(2395)	3	(946)	2	(2280)	36305.19	(1662)	0.00020	(1142)
艾尔·帕西诺	12	(749)	1	(6473)	2	(1675)	1	(4702)	118862.15	(610)	0.00017	(1373)
賈斯汀·提姆布萊克	18	(439)	16	(383)	4	(730)	4	(574)	546278.28	(96)	0.00019	(1153)
迈克·泰森	2	(3968)	2	(4309)	1	(3795)	0	(9245)	8115.13	(3433)	0.00002	(7457)
AAA_(團體)	0	(9125)	7	(1216)	0	(8154)	3	(1003)	0.00	(6155)	0.00001	(9159)
小室哲哉	10	(937)	12	(567)	3	(946)	3	(1003)	145212.00	(499)	0.00017	(1453)
張鈞甯	17	(483)	19	(295)	8	(361)	10	(140)	167838.15	(420)	0.00010	(2661)
濱崎步	21	(357)	13	(513)	3	(946)	3	(1003)	392025.07	(144)	0.00024	(816)
莎拉·蜜雪兒·吉蘭	5	(1857)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00003	(6090)
鄭元暢	25	(270)	29	(173)	8	(361)	10	(140)	58552.16	(1139)	0.00012	(2308)
鈴木亞美	6	(1564)	3	(3107)	3	(946)	2	(2280)	14874.25	(2745)	0.00008	(3375)
陳冠希	46	(87)	2	(4309)	19	(1)	2	(2280)	7349.77	(3634)	0.00027	(683)
Aiko	2	(3968)	7	(1216)	2	(1675)	3	(1003)	13810.73	(2830)	0.00002	(7801)
国分太一	3	(2928)	7	(1216)	2	(1675)	3	(1003)	1753.72	(4650)	0.00004	(5396)
堂本剛	11	(842)	15	(417)	3	(946)	3	(1003)	188831.90	(358)	0.00024	(782)
大塚爱	4	(2290)	3	(3107)	2	(1675)	2	(2280)	7808.75	(3589)	0.00003	(6157)
安倍夏美	9	(1040)	5	(1875)	3	(946)	2	(2280)	43921.70	(1460)	0.00018	(1269)
平井堅	7	(1351)	3	(3107)	2	(1675)	2	(2280)	20124.17	(2340)	0.00007	(3900)
持田香織	2	(3968)	2	(4309)	1	(3795)	2	(2280)	7071.67	(3658)	0.00002	(7575)
椎名林檎	6	(1564)	13	(513)	2	(1675)	3	(1003)	108784.83	(676)	0.00006	(4147)
Aimmy	1	(5871)	1	(6473)	0	(8154)	1	(4702)	5117.54	(4115)	0.00002	(7967)
安室奈美惠	17	(483)	4	(2395)	3	(946)	2	(2280)	117875.96	(616)	0.00015	(1618)
A·J·P·泰勒	1	(5871)	11	(644)	1	(3795)	3	(1003)	32752.67	(1775)	0.00004	(5002)
古斯塔夫·施特雷澤曼	3	(2928)	1	(6473)	2	(1675)	1	(4702)	3330.17	(4337)	0.00011	(2452)
奥托·冯·俾斯麦	18	(439)	1	(6473)	3	(946)	1	(4702)	51181.22	(1278)	0.00047	(246)
戈洛·曼	3	(2928)	6	(1510)	1	(3795)	3	(1003)	30881.15	(1819)	0.00003	(7157)
查理大帝	11	(842)	5	(1875)	2	(1675)	2	(2280)	141999.91	(514)	0.00075	(104)
爱德华·达拉第	5	(1857)	1	(6473)	2	(1675)	1	(4702)	24263.64	(2120)	0.00018	(1250)
玛格丽特·撒切尔	44	(99)	24	(227)	4	(730)	4	(574)	1046137.05	(39)	0.00079	(94)
约瑟普·布罗兹·铁托	9	(1040)	8	(1015)	3	(946)	3	(1003)	134251.75	(538)	0.00023	(829)
