user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
"weird_al"_yankovic	0	(7139)	4	(734)	0	(6170)	2	(422)	0.00	(4103)	0.00002	(7150)
chamillionaire	3	(1334)	1	(4428)	1	(1670)	1	(2625)	2.00	(3782)	0.00019	(1309)
coolio	1	(3700)	1	(4428)	0	(6170)	1	(2625)	0.50	(4079)	0.00002	(7078)
lady_gaga	10	(240)	8	(182)	1	(1670)	3	(73)	48872.31	(726)	0.00009	(3377)
michael_jackson	47	(3)	26	(4)	3	(99)	3	(73)	3653220.70	(1)	0.00157	(17)
14th_dalai_lama	1	(3700)	3	(1233)	1	(1670)	2	(422)	6536.00	(2067)	0.00003	(5735)
george_w._bush	50	(2)	22	(7)	3	(99)	3	(73)	740789.85	(29)	0.00265	(3)
jawaharlal_nehru	4	(953)	2	(2262)	1	(1670)	2	(422)	48000.55	(730)	0.00009	(3330)
thubten_gyatso,_13th_dalai_lama	2	(2064)	2	(2262)	1	(1670)	1	(2625)	3271.00	(2517)	0.00004	(5275)
50_cent	14	(125)	9	(142)	3	(99)	3	(73)	86943.36	(451)	0.00052	(222)
dr._dre	19	(51)	9	(142)	3	(99)	3	(73)	292742.35	(128)	0.00066	(121)
eminem	29	(18)	14	(39)	3	(99)	3	(73)	475539.64	(56)	0.00078	(89)
fat_joe	3	(1334)	4	(734)	1	(1670)	2	(422)	9763.55	(1813)	0.00011	(3060)
jam-master_jay	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00007	(4067)
jay-z	27	(22)	6	(333)	3	(99)	3	(73)	193468.05	(205)	0.00067	(116)
kanye_west	22	(43)	9	(142)	3	(99)	3	(73)	359620.79	(92)	0.00043	(311)
lloyd_banks	5	(730)	5	(498)	2	(265)	3	(73)	10217.36	(1747)	0.00017	(1562)
tony_yayo	4	(953)	3	(1233)	2	(265)	3	(73)	1195.69	(2928)	0.00014	(1948)
young_buck	3	(1334)	2	(2262)	2	(265)	2	(422)	0.00	(4103)	0.00010	(3233)
a._a._milne	0	(7139)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(7209)
h._g._wells	4	(953)	2	(2262)	2	(265)	2	(422)	217985.53	(183)	0.00025	(846)
a._j._mclean	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00019	(1337)
backstreet_boys	6	(564)	2	(2262)	1	(1670)	1	(2625)	11912.00	(1649)	0.00039	(387)
a._p._j._abdul_kalam	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00014	(2038)
pratibha_patil	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00014	(2038)
a._s._byatt	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00014	(2038)
margaret_drabble	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00014	(2038)
aad_de_mos	0	(7139)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(7209)
salman_al-moasher	2	(2064)	1	(4428)	0	(6170)	1	(2625)	6560.00	(2029)	0.00004	(5068)
aage_bohr	3	(1334)	3	(1233)	2	(265)	2	(422)	18430.00	(1339)	0.00022	(1001)
ben_roy_mottelson	2	(2064)	2	(2262)	2	(265)	2	(422)	0.00	(4103)	0.00015	(1865)
james_rainwater	2	(2064)	2	(2262)	2	(265)	2	(422)	0.00	(4103)	0.00015	(1865)
niels_bohr	13	(150)	6	(333)	2	(265)	2	(422)	202408.34	(199)	0.00051	(224)
aaliyah	3	(1334)	6	(333)	3	(99)	3	(73)	25427.99	(1117)	0.00019	(1324)
gladys_knight	1	(3700)	2	(2262)	1	(1670)	2	(422)	1986.15	(2841)	0.00004	(5049)
jet_li	9	(303)	1	(4428)	2	(265)	1	(2625)	21105.03	(1248)	0.00033	(519)
lil'_kim	7	(441)	3	(1233)	3	(99)	3	(73)	1459.80	(2899)	0.00028	(661)
missy_elliott	13	(150)	5	(498)	3	(99)	3	(73)	19121.24	(1314)	0.00042	(326)
r._kelly	8	(364)	7	(246)	3	(99)	3	(73)	148210.74	(270)	0.00036	(436)
timbaland	17	(75)	11	(78)	3	(99)	3	(73)	661919.14	(34)	0.00065	(129)
aaron_burr	3	(1334)	2	(2262)	2	(265)	2	(422)	1.67	(3887)	0.00023	(975)
alexander_hamilton	5	(730)	4	(734)	2	(265)	2	(422)	8478.26	(1898)	0.00059	(173)
thomas_jefferson_rusk	7	(441)	7	(246)	2	(265)	2	(422)	29952.78	(1009)	0.00060	(163)
aaron_carter	0	(7139)	2	(2262)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(9406)
hilary_duff	8	(364)	4	(734)	1	(1670)	1	(2625)	58927.67	(632)	0.00024	(867)
aaron_ciechanover	2	(2064)	2	(2262)	2	(265)	2	(422)	0.00	(4103)	0.00014	(1958)
avram_hershko	2	(2064)	2	(2262)	2	(265)	2	(422)	0.00	(4103)	0.00014	(1958)
irwin_rose	2	(2064)	2	(2262)	2	(265)	2	(422)	0.00	(4103)	0.00014	(1958)
aaron_copland	2	(2064)	3	(1233)	1	(1670)	1	(2625)	9698.99	(1815)	0.00005	(4718)
benny_goodman	15	(110)	2	(2262)	2	(265)	1	(2625)	42286.47	(812)	0.00083	(71)
emily_dickinson	1	(3700)	0	(8906)	1	(1670)	0	(8123)	0.00	(4103)	0.00003	(5856)
nadia_boulanger	10	(240)	11	(78)	1	(1670)	2	(422)	220290.78	(180)	0.00017	(1569)
aaron_johnson_(actor)	0	(7139)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(7209)
john_lennon	29	(18)	11	(78)	3	(99)	3	(73)	363312.73	(91)	0.00123	(34)
aaron_klug	0	(7139)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(7209)
rosalind_franklin	4	(953)	2	(2262)	2	(265)	2	(422)	2.00	(3782)	0.00033	(510)
aaron_neville	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00006	(4422)
linda_ronstadt	5	(730)	3	(1233)	2	(265)	2	(422)	11533.24	(1691)	0.00014	(2465)
aaron_ramsey	0	(7139)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(7209)
arsène_wenger	11	(211)	7	(246)	1	(1670)	1	(2625)	44214.44	(786)	0.00017	(1513)
aaron_spelling	3	(1334)	1	(4428)	1	(1670)	1	(2625)	5956.00	(2155)	0.00039	(381)
tori_spelling	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00036	(427)
abbey_lincoln	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00005	(4636)
max_roach	10	(240)	11	(78)	3	(99)	3	(73)	29435.38	(1026)	0.00045	(285)
abd_al-karim_qasim	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00017	(1511)
saddam_hussein	19	(51)	2	(2262)	2	(265)	2	(422)	112719.87	(358)	0.00098	(47)
abdel_aziz_al-rantissi	0	(7139)	1	(4428)	0	(6170)	0	(8123)	0.00	(4103)	0.00002	(7209)
