adolf_hitler	joseph_goebbels
akbar_hashemi_rafsanjani	ali_khamenei
akhenaten	tutankhamun
al_gore	bill_clinton
alberto_fujimori	alan_garcía
alec_baldwin	kim_basinger
alec_douglas-home	harold_macmillan
alfred_moisiu	bamir_topi
andrew_johnson	abraham_lincoln
andy_murray	roger_federer
andy_roddick	roger_federer
angela_merkel	helmut_kohl
angelina_jolie	jon_voight
anne-sophie_mutter	herbert_von_karajan
anne_boleyn	catherine_of_aragon
anthony_eden	harold_macmillan
anthony_eden	winston_churchill
antoninus_pius	lucius_verus
antónio_de_oliveira_salazar	marcelo_caetano
ariel_sharon	ehud_olmert
arthur_miller	marilyn_monroe
aspasia	pericles
bashar_al-assad	hafez_al-assad
benjamin_harrison	grover_cleveland
benjamin_netanyahu	ehud_barak
benjamin_netanyahu	ehud_olmert
benjamin_netanyahu	shimon_peres
beyoncé_knowles	jay-z
blaise_compaoré	thomas_sankara
bob_dylan	joan_baez
bruce_willis	demi_moore
caracalla	septimius_severus
carl_gustaf_emil_mannerheim	juho_kusti_paasikivi
chagatai_khan	genghis_khan
charles_de_gaulle	georges_pompidou
charles_ix_of_france	catherine_de'_medici
charles_vii_of_france	joan_of_arc
chen_ning_yang	tsung-dao_lee
chester_a._arthur	grover_cleveland
chiang_kai-shek	sun_yat-sen
clement_attlee	winston_churchill
corazon_aquino	ferdinand_marcos
cristina_fernández_de_kirchner	néstor_kirchner
daniel_arap_moi	mwai_kibaki
daniel_day-lewis	isabelle_adjani
david_cameron	gordon_brown
david_fincher	aerosmith
david_nalbandian	roger_federer
deng_xiaoping	mao_zedong
dennis_ritchie	ken_thompson
deryck_whibley	avril_lavigne
dilma_rousseff	luiz_inácio_lula_da_silva
dr._dre	50_cent
dr._dre	eminem
dr._dre	snoop_dogg
edmund_husserl	martin_heidegger
edward_heath	margaret_thatcher
ehud_barak	ariel_sharon
ehud_barak	benjamin_netanyahu
ehud_olmert	ariel_sharon
ehud_olmert	benjamin_netanyahu
eminem	dr._dre
fidel_castro	raúl_castro
françois_mitterrand	valéry_giscard_d'estaing
friedrich_ebert	prince_maximilian_of_baden
gamal_abdel_nasser	anwar_el_sadat
garry_kasparov	vladimir_kramnik
george_harrison	paul_mccartney
george_w._bush	barack_obama
george_w._bush	bill_clinton
georgy_malenkov	joseph_stalin
georgy_malenkov	nikita_khrushchev
gordon_brown	david_cameron
gordon_brown	tony_blair
harold_macmillan	anthony_eden
helmut_schmidt	willy_brandt
henry_iii_of_france	catherine_de'_medici
henry_viii_of_england	anne_boleyn
henry_viii_of_england	catherine_howard
henry_viii_of_england	catherine_of_aragon
henry_viii_of_england	catherine_parr
howard_carter	tutankhamun
hu_jintao	jiang_zemin
hubert_humphrey	lyndon_b._johnson
humphrey_bogart	lauren_bacall
ingrid_bergman	roberto_rossellini
jacques_chirac	françois_mitterrand
jacques_chirac	nicolas_sarkozy
james_callaghan	margaret_thatcher
james_monroe	james_madison
james_monroe	john_quincy_adams
jamie_lynn_spears	britney_spears
jane_russell	marilyn_monroe
jawaharlal_nehru	mohandas_karamchand_gandhi
jay-z	beyoncé_knowles
jean-martin_charcot	sigmund_freud
jean-paul_sartre	simone_de_beauvoir
jiang_zemin	deng_xiaoping
jiang_zemin	hu_jintao
jo-wilfried_tsonga	novak_djokovic
joe_biden	barack_obama
joe_satriani	steve_vai
johannes_kepler	tycho_brahe
john_major	margaret_thatcher
john_major	tony_blair
josé_mujica	tabaré_vázquez
juan_manuel_santos	álvaro_uribe
juan_martín_del_potro	roger_federer
julia_gillard	kevin_rudd
karl_ferdinand_braun	guglielmo_marconi
kate_winslet	sam_mendes
kesha	flo_rida
kevin_rudd	julia_gillard
kim_basinger	alec_baldwin
kim_il-sung	kim_jong-il
kimi_räikkönen	felipe_massa
kimi_räikkönen	fernando_alonso
kofi_annan	ban_ki-moon
kublai_khan	genghis_khan
lars_løkke_rasmussen	anders_fogh_rasmussen
leo_von_caprivi	otto_von_bismarck
liam_neeson	natasha_richardson
lise_meitner	otto_hahn
louis_the_pious	charlemagne
lucius_verus	antoninus_pius
lyndon_b._johnson	hubert_humphrey
lyndon_b._johnson	richard_nixon
mao_zedong	chiang_kai-shek
mao_zedong	deng_xiaoping
marcello_mastroianni	catherine_deneuve
margaret_thatcher	john_major
maria_sharapova	ana_ivanović
maria_sharapova	justine_henin
maria_sharapova	serena_williams
martina_navratilova	chris_evert
martina_navratilova	steffi_graf
max_planck	albert_einstein
maximinus_thrax	alexander_severus
michel_debré	charles_de_gaulle
michelle_bachelet	sebastián_piñera
miranda_kerr	orlando_bloom
moshe_katsav	shimon_peres
mwai_kibaki	daniel_arap_moi
nadia_boulanger	ástor_piazzolla
nelly_furtado	timbaland
nicki_minaj	lil_wayne
nicolas_sarkozy	jacques_chirac
nicole_kidman	tom_cruise
nikita_khrushchev	leonid_brezhnev
novak_djokovic	jo-wilfried_tsonga
paul_von_hindenburg	adolf_hitler
pepin_the_short	charles_martel
philippe_pétain	charles_de_gaulle
rafael_nadal	novak_djokovic
rafael_nadal	robin_söderling
rafael_nadal	roger_federer
raymond_barre	jacques_chirac
richard_burton	elizabeth_taylor
richard_nixon	gerald_ford
rihanna	jay-z
roberto_rossellini	ingrid_bergman
roger_federer	andre_agassi
roger_federer	novak_djokovic
roger_federer	rafael_nadal
roger_federer	robin_söderling
romano_prodi	josé_manuel_barroso
romano_prodi	silvio_berlusconi
ronald_reagan	jimmy_carter
rutherford_b._hayes	ulysses_s._grant
salvador_allende	augusto_pinochet
septimius_severus	caracalla
serena_williams	venus_williams
shimon_peres	moshe_katsav
shimon_peres	yitzhak_rabin
slobodan_milošević	vojislav_koštunica
snoop_dogg	dr._dre
steve_vai	frank_zappa
steven_tyler	aerosmith
sukarno	suharto
sun_yat-sen	yuan_shikai
taro_aso	yukio_hatoyama
theodore_roosevelt	william_howard_taft
theodore_roosevelt	william_mckinley
thomas_klestil	heinz_fischer
thomas_klestil	kurt_waldheim
valéry_giscard_d'estaing	françois_mitterrand
venus_williams	serena_williams
viktor_yanukovych	viktor_yushchenko
viktor_yushchenko	leonid_kuchma
viktor_yushchenko	viktor_yanukovych
viswanathan_anand	vladimir_kramnik
vladimir_kramnik	garry_kasparov
vojislav_koštunica	slobodan_milošević
vyacheslav_molotov	joseph_stalin
william_henry_harrison	john_tyler
william_howard_taft	theodore_roosevelt
william_howard_taft	woodrow_wilson
william_mckinley	theodore_roosevelt
winston_churchill	anthony_eden
winston_churchill	clement_attlee
woodrow_wilson	william_howard_taft
yasser_arafat	yitzhak_rabin
yitzhak_rabin	shimon_peres
yoko_ono	john_lennon
yuan_shikai	sun_yat-sen
yukio_hatoyama	naoto_kan
yukio_hatoyama	taro_aso
yulia_tymoshenko	viktor_yanukovych
yuri_andropov	leonid_brezhnev
yves_leterme	herman_van_rompuy
zine_el_abidine_ben_ali	habib_bourguiba
